iter	Logloss
0	0.5267449293
1	0.4733519875
2	0.4374641906
3	0.4260778424
4	0.4148601542
5	0.4065196314
6	0.3998630611
7	0.39609228
8	0.3903393037
9	0.387944875
10	0.3864050755
11	0.3860221299
12	0.3750839349
13	0.3703047601
14	0.3681329064
15	0.3665855667
16	0.3633758265
17	0.3579736312
18	0.357730264
19	0.3543154539
20	0.3535965745
21	0.3522057795
22	0.3515605157
23	0.351340973
24	0.345433406
25	0.3389073476
26	0.3384223663
27	0.335015361
28	0.3343567745
29	0.3324913725
30	0.3297267583
31	0.3255582213
32	0.3202313941
33	0.319271824
34	0.3191714373
35	0.3180076174
36	0.3179232754
37	0.3105914897
38	0.3091382219
39	0.3065863287
40	0.3065264
41	0.3059480578
42	0.2979889089
43	0.297886897
44	0.2933524519
45	0.2887862657
46	0.2873295371
47	0.2845410755
48	0.2835413629
49	0.2834785409
50	0.2795209888
51	0.2788923933
52	0.2766143343
53	0.2743169273
54	0.2719581799
55	0.2718932223
56	0.2712852942
57	0.2711005564
58	0.2710173073
59	0.2691102906
60	0.2686139922
61	0.267464929
62	0.2673161256
63	0.2639248266
64	0.2624359205
65	0.2608827228
66	0.2603224564
67	0.2587863088
68	0.2576669543
69	0.2571780742
70	0.257118219
71	0.2566723548
72	0.255823753
73	0.2547337076
74	0.252124306
75	0.2496470744
76	0.2449863087
77	0.2439690594
78	0.24394626
79	0.2412900933
80	0.2402594114
81	0.2399176513
82	0.2395030472
83	0.2368912056
84	0.2367134284
85	0.236481144
86	0.2364533377
87	0.2348440944
88	0.2340781371
89	0.2312270813
90	0.2307224654
91	0.2230551156
92	0.2211989474
93	0.2195162911
94	0.2187909301
95	0.2172596501
96	0.2164315163
97	0.2157047662
98	0.2149131514
99	0.2144320671
